epoc (ms),timestamp (GMT-08:00),elapsed (s),Flexion/Extension (°)
1547686579461.2031,2019-01-16T16.56.19.461,0.0,-4.2
1547686579561.2031,2019-01-16T16.56.19.561,0.1,-4.2
1547686579661.203,2019-01-16T16.56.19.661,0.2,-4.2
1547686579761.203,2019-01-16T16.56.19.761,0.3,-4.2
1547686579861.203,2019-01-16T16.56.19.861,0.4,-4.2
1547686579961.2031,2019-01-16T16.56.19.961,0.5,-4.2
1547686580061.2031,2019-01-16T16.56.20.061,0.6,-4.2
1547686580161.203,2019-01-16T16.56.20.161,0.7,-4.1
1547686580261.203,2019-01-16T16.56.20.261,0.8,-4.1
1547686580361.203,2019-01-16T16.56.20.361,0.9,-4.1
1547686580461.2031,2019-01-16T16.56.20.461,1.0,-3.9
1547686580561.2031,2019-01-16T16.56.20.561,1.1,-3.1
1547686580661.203,2019-01-16T16.56.20.661,1.2,-3.0
1547686580761.203,2019-01-16T16.56.20.761,1.3,-2.8
1547686580861.203,2019-01-16T16.56.20.861,1.4,-2.4
1547686580961.2031,2019-01-16T16.56.20.961,1.5,-1.9
1547686581061.2031,2019-01-16T16.56.21.061,1.6,-1.4
1547686581161.203,2019-01-16T16.56.21.161,1.7,0.7
1547686581261.203,2019-01-16T16.56.21.261,1.8,3.3
1547686581361.203,2019-01-16T16.56.21.361,1.9,3.9
1547686581461.2031,2019-01-16T16.56.21.461,2.0,0.2
1547686581561.2031,2019-01-16T16.56.21.561,2.1,-1.5
1547686581661.203,2019-01-16T16.56.21.661,2.2,-0.1
1547686581761.203,2019-01-16T16.56.21.761,2.3,0.8
1547686581861.203,2019-01-16T16.56.21.861,2.4,2.6
1547686581961.2031,2019-01-16T16.56.21.961,2.5,5.2
1547686582061.2031,2019-01-16T16.56.22.061,2.6,9.9
1547686582161.203,2019-01-16T16.56.22.161,2.7,11.7
1547686582261.203,2019-01-16T16.56.22.261,2.8,14.2
1547686582361.203,2019-01-16T16.56.22.361,2.9,16.9
1547686582461.2031,2019-01-16T16.56.22.461,3.0,18.6
1547686582561.2031,2019-01-16T16.56.22.561,3.1,20.3
1547686582661.203,2019-01-16T16.56.22.661,3.2,22.2
1547686582761.203,2019-01-16T16.56.22.761,3.3,24.1
1547686582861.203,2019-01-16T16.56.22.861,3.4,25.8
1547686582961.2031,2019-01-16T16.56.22.961,3.5,26.8
1547686583061.2031,2019-01-16T16.56.23.061,3.6,27.9
1547686583161.203,2019-01-16T16.56.23.161,3.7,29.8
1547686583261.203,2019-01-16T16.56.23.261,3.8,31.9
1547686583361.203,2019-01-16T16.56.23.361,3.9,32.8
1547686583461.2031,2019-01-16T16.56.23.461,4.0,34.1
1547686583561.2031,2019-01-16T16.56.23.561,4.1,36.4
1547686583661.203,2019-01-16T16.56.23.661,4.2,38.8
1547686583761.203,2019-01-16T16.56.23.761,4.3,40.9
1547686583861.203,2019-01-16T16.56.23.861,4.4,44.2
1547686583961.2031,2019-01-16T16.56.23.961,4.5,51.0
1547686584061.2031,2019-01-16T16.56.24.061,4.6,53.7
1547686584161.203,2019-01-16T16.56.24.161,4.7,55.0
1547686584261.203,2019-01-16T16.56.24.261,4.8,56.9
1547686584361.203,2019-01-16T16.56.24.361,4.9,59.1
1547686584461.2031,2019-01-16T16.56.24.461,5.0,61.9
1547686584561.2031,2019-01-16T16.56.24.561,5.1,64.3
1547686584661.203,2019-01-16T16.56.24.661,5.2,66.5
1547686584761.203,2019-01-16T16.56.24.761,5.3,70.1
1547686584861.203,2019-01-16T16.56.24.861,5.4,72.7
1547686584961.2031,2019-01-16T16.56.24.961,5.5,74.5
1547686585061.2031,2019-01-16T16.56.25.061,5.6,76.6
1547686585161.203,2019-01-16T16.56.25.161,5.7,78.5
1547686585261.203,2019-01-16T16.56.25.261,5.8,80.1
1547686585361.203,2019-01-16T16.56.25.361,5.9,81.6
1547686585461.2031,2019-01-16T16.56.25.461,6.0,83.7
1547686585561.2031,2019-01-16T16.56.25.561,6.1,85.9
1547686585661.203,2019-01-16T16.56.25.661,6.2,86.8
1547686585761.203,2019-01-16T16.56.25.761,6.3,87.6
1547686585861.203,2019-01-16T16.56.25.861,6.4,87.5
1547686585961.2031,2019-01-16T16.56.25.961,6.5,87.2
1547686586061.2031,2019-01-16T16.56.26.061,6.6,86.6
1547686586161.203,2019-01-16T16.56.26.161,6.7,86.2
1547686586261.203,2019-01-16T16.56.26.261,6.8,86.0
1547686586361.203,2019-01-16T16.56.26.361,6.9,85.8
1547686586461.2031,2019-01-16T16.56.26.461,7.0,85.3
1547686586561.2031,2019-01-16T16.56.26.561,7.1,84.3
1547686586661.203,2019-01-16T16.56.26.661,7.2,83.3
